id`win_times`group_index`member_list`prob`award_id1`award_count1`award_id2`award_count2`award_id3`award_count3
1`0`1`30030|30029|30028`0`30017`3000`30101`100``
2`1`2`30027|30026|30025`15`30005`3000`30104`3``
3`2`2`30024|30023|30022`30`30007`3000`30103`15``
4`3`3`30021|30020|30019`45`30018`3000`33201`1`30004`1000
5`4`3`30018|30017|30016`60`30008`3000`31022`1`30004`2000
6`5`4`30015|30014|30013`70`30014`3000`30106`1`30004`3000
7`6`4`30012|30011|30010`80`30009`3000`30102`30`30004`4000
8`7`5`30009|30008|30007`85`30006`3000`30101`200`30004`6000
9`8`5`30006|30005|30004`90`30021`3000`33208`1`30004`9000
10`9`5`30003|30002|30001`95`30019`3000`31022`1`30004`12000
