id`min_power`heros_list```desc`award_id1`award_count1`award_id2`award_count2`award_id3`award_count3
1`3900`15001|15002|15003|15004|15005````30027`20`30101`100`30004`1000
2`8000`15006|15007|15008|15009|15010````30027`30`30101`150`30004`1500
3`10000`15011|15012|15013|15014|15015````30027`40`30101`200`30004`2000
4`23000`15016|15017|15018|15019|15020````30027`50`30101`250`30004`2500
5`34000`15021|15022|15023|15024|15025````30027`60`30101`300`30004`3000
6`45000`15026|15027|15028|15029|15030````30027`70`30101`350`30004`3500
7`66000`15031|15032|15033|15034|15035````30027`80`30101`400`30004`4000
8`86000`15036|15037|15038|15039|15040````30027`90`30101`450`30004`4500
9`93000`15041|15042|15043|15044|15045````30027`100`30101`500`30004`5000
10`110000`15046|15047|15048|15049|15050````30027`110`30101`550`30004`5500
11`140000`15051|15052|15053|15054|15055````30027`120`30101`600`30004`6000
12`160000`15056|15057|15058|15059|15060````30027`130`30101`650`30004`6500
13`190000`15061|15062|15063|15064|15065````30027`140`30101`700`30004`7000
14`210000`15066|15067|15068|15069|15070````30027`150`30101`750`30004`7500
15`290000`15071|15072|15073|15074|15075````30027`160`30101`800`30004`8000
16`340000`15076|15077|15078|15079|15080````30027`170`30101`850`30004`8500
17`420000`15081|15082|15083|15084|15085````30027`180`30101`900`30004`9000
18`510000`15086|15087|15088|15089|15090````30027`190`30101`950`30004`9500
19`580000`15091|15092|15093|15094|15095````30027`200`30101`1000`30004`10000
20`660000`15096|15097|15098|15099|15100````30027`210`30101`1050`30004`10500
21`720000`15101|15102|15103|15104|15105````30027`220`30101`1100`30004`11000
22`810000`15106|15107|15108|15109|15110````30027`230`30101`1150`30004`11500
23`880000`15111|15112|15113|15114|15115````30027`240`30110`2`30004`20000
24`980000`15116|15117|15118|15119|15120````30027`250`30110`4`30004`30000
25`1020000`15121|15122|15123|15124|15125````30027`250`30110`6`30004`40000
26`1160000`15126|15127|15128|15129|15130````30027`250`30110`8`30004`50000
27`1220000`15131|15132|15133|15134|15135````30027`250`30110`10`30004`60000
28`1260000`15136|15137|15138|15139|15140````30027`250`30110`12`30004`70000
29`1290000`15141|15142|15143|15144|15145````30027`250`30110`14`30004`80000
30`1360000`15146|15147|15148|15149|15150````30027`250`30110`16`30004`90000
31`1560000`15151|15152|15153|15154|15155````30027`250`30110`18`30004`100000
32`1590000`15156|15157|15158|15159|15160````30027`250`30110`20`30004`110000
33`1630000`15161|15162|15163|15164|15165````30027`250`30110`22`30004`120000
34`2100000`15166|15167|15168|15169|15170````30027`250`30110`24`30004`130000
35`2320000`15171|15172|15173|15174|15175````30027`250`30110`26`30004`140000
36`2540000`15176|15177|15178|15179|15180````30027`250`30110`28`30004`150000
37`2680000`15181|15182|15183|15184|15185````30027`250`30110`30`30004`160000
