id`pos`resource_id`level`capability_list`amount`min_manor_level`monster_id`monster_name`monster_icon`icon`atlas
1`1`30007`5`800|1200|1600|2000|2400|2800|3200|3600|4000|4400|4800|5200|5600|6000|6400`1`6`20041`流寇首领`1401000`503`VillageAtlas
2`2`30008`5`800|1200|1600|2000|2400|2800|3200|3600|4000|4400|4800|5200|5600|6000|6400`1`6`20042`流寇首领`1102100`501`VillageAtlas
3`3`30005`5`800|1200|1600|2000|2400|2800|3200|3600|4000|4400|4800|5200|5600|6000|6400`1`6`20043`流寇首领`1401000`502`VillageAtlas
4`4`30013`5`800|1200|1600|2000|2400|2800|3200|3600|4000|4400|4800|5200|5600|6000|6400`1`6`20044`流寇首领`1202700`504`VillageAtlas
5`5`30007`4`600|1000|1400|1700|2100|2400|2800|3100|3500|3800|4200|4500|4900|5200|5600`4`5`20046`彪悍的流寇`1103500`403`VillageAtlas
6`6`30008`4`600|1000|1400|1700|2100|2400|2800|3100|3500|3800|4200|4500|4900|5200|5600`4`5`20047`彪悍的流寇`1100100`401`VillageAtlas
7`7`30005`4`600|1000|1400|1700|2100|2400|2800|3100|3500|3800|4200|4500|4900|5200|5600`4`5`20048`彪悍的流寇`1401000`402`VillageAtlas
8`8`30013`4`600|1000|1400|1700|2100|2400|2800|3100|3500|3800|4200|4500|4900|5200|5600`4`5`20049`彪悍的流寇`1102100`404`VillageAtlas
9`9`30007`3`400|800|1200|1400|1800|2000|2400|2600|3000|3200|3600|3800|4200|4400|4800`8`5`20051`强壮的流寇`1103100`303`VillageAtlas
10`10`30008`3`400|800|1200|1400|1800|2000|2400|2600|3000|3200|3600|3800|4200|4400|4800`8`5`20052`强壮的流寇`1100300`301`VillageAtlas
11`11`30005`3`400|800|1200|1400|1800|2000|2400|2600|3000|3200|3600|3800|4200|4400|4800`8`5`20053`强壮的流寇`1300300`302`VillageAtlas
12`12`30013`3`400|800|1200|1400|1800|2000|2400|2600|3000|3200|3600|3800|4200|4400|4800`8`5`20054`强壮的流寇`1200600`304`VillageAtlas
13`13`30007`2`200|600|1000|1100|1500|1600|2000|2100|2500|2600|3000|3100|3500|3600|4000`12`4`20057`普通流寇`1100100`203`VillageAtlas
14`14`30008`2`200|600|1000|1100|1500|1600|2000|2100|2500|2600|3000|3100|3500|3600|4000`12`4`20058`普通流寇`1203100`201`VillageAtlas
15`15`30005`2`200|600|1000|1100|1500|1600|2000|2100|2500|2600|3000|3100|3500|3600|4000`12`4`20059`普通流寇`1100600`202`VillageAtlas
16`16`30013`2`200|600|1000|1100|1500|1600|2000|2100|2500|2600|3000|3100|3500|3600|4000`12`4`20060`普通流寇`1301900`204`VillageAtlas
17`17`30007`1`0|400|800|800|1200|1200|1600|1600|2000|2000|2400|2400|2800|2800|3200`250`4`20072`瘦弱的流寇`1201700`103`VillageAtlas
18`18`30008`1`0|400|800|800|1200|1200|1600|1600|2000|2000|2400|2400|2800|2800|3200`250`4`20073`瘦弱的流寇`1104900`101`VillageAtlas
19`19`30005`1`0|400|800|800|1200|1200|1600|1600|2000|2000|2400|2400|2800|2800|3200`250`4`20074`瘦弱的流寇`1300500`102`VillageAtlas
20`20`30013`1`0|400|800|800|1200|1200|1600|1600|2000|2000|2400|2400|2800|2800|3200`250`4`20075`瘦弱的流寇`1300100`104`VillageAtlas
