id`guild_boss1_wujiang_zhuansheng`guild_boss1_wujiang_level`guild_boss2_wujiang_zhuansheng`guild_boss2_wujiang_level`guild_boss3_wujiang_zhuansheng`guild_boss3_wujiang_level`guild_boss4_wujiang_zhuansheng`guild_boss4_wujiang_level`guild_boss5_wujiang_zhuansheng`guild_boss5_wujiang_level`guild_boss6_wujiang_zhuansheng`guild_boss6_wujiang_level`guild_boss_wujiang_soldier_count`guild_boss_amy_level:int`world_boss_turn_pnt`world_boss_soldier_count`world_boss_amry_level:int`worldboss_wujiang_zhuansheng`worldboss_wujiang_level
1`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10`41690`3`30`41690`3`0`10
2`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10`41690`3`30`41690`3`0`10
3`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10`41690`3`30`41690`3`0`10
4`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10`41690`4`30`41690`4`0`10
5`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13`41690`5`30`41690`5`0`13
6`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15`42158`6`30`42158`6`0`15
7`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18`51941`7`30`51941`7`0`18
8`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`21|21|21|21|21|21|21|21|21|21|21|21|21|21|21|21|21|21`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`21|21|21|21|21|21|21|21|21|21|21|21|21|21|21|21|21|21`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`21|21|21|21|21|21|21|21|21|21|21|21|21|21|21|21|21|21`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`21|21|21|21|21|21|21|21|21|21|21|21|21|21|21|21|21|21`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`21|21|21|21|21|21|21|21|21|21|21|21|21|21|21|21|21|21`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`21|21|21|21|21|21|21|21|21|21|21|21|21|21|21|21|21|21`61886`8`30`61886`8`0`21
9`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24`62517`9`30`62517`9`0`24
10`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`26|26|26|26|26|26|26|26|26|26|26|26|26|26|26|26|26|26`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`26|26|26|26|26|26|26|26|26|26|26|26|26|26|26|26|26|26`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`27|27|27|27|27|27|27|27|27|27|27|27|27|27|27|27|27|27`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`28|28|28|28|28|28|28|28|28|28|28|28|28|28|28|28|28|28`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`30|30|30|30|30|30|30|30|30|30|30|30|30|30|30|30|30|30`0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0`30|30|30|30|30|30|30|30|30|30|30|30|30|30|30|30|30|30`63149`10`30`63149`10`0`26
